Airfield,Runway,MTOW,Length,Elevation,RCR,Engine Anti-Ice,QNH,OAT C,MTOW (Lbs),MTOW_Code,Obstacle,EAI
KNYG,RWY02,452200,4250,11,23,off,29.92,-18,452200 M2,M2,1,0
KNYG,RWY02,451700,4250,11,23,off,29.92,-16,451700 M2,M2,1,0
KNYG,RWY02,451300,4250,11,23,off,29.92,-14,451300 M2,M2,1,0
KNYG,RWY02,450800,4250,11,23,off,29.92,-12,450800 M2,M2,1,0
KNYG,RWY02,450400,4250,11,23,off,29.92,-10,450400 M2,M2,1,0
KNYG,RWY02,449800,4250,11,23,off,29.92,-7,449800 M2,M2,1,0
KNYG,RWY02,449300,4250,11,23,off,29.92,-5,449300 M2,M2,1,0
KNYG,RWY02,448900,4250,11,23,off,29.92,-3,448900 M2,M2,1,0
KNYG,RWY02,448500,4250,11,23,off,29.92,-1,448500 M2,M2,1,0
KNYG,RWY02,448100,4250,11,23,off,29.92,1,448100 M,M,0,0
KNYG,RWY02,447400,4250,11,23,off,29.92,4,447400 M,M,0,0
KNYG,RWY02,447000,4250,11,23,off,29.92,6,447000 M,M,0,0
KNYG,RWY02,446600,4250,11,23,off,29.92,8,446600 M,M,0,0
KNYG,RWY02,446100,4250,11,23,off,29.92,10,446100 M,M,0,0
KNYG,RWY02,445700,4250,11,23,off,29.92,12,445700 M,M,0,0
KNYG,RWY02,445000,4250,11,23,off,29.92,15,445000 M,M,0,0
KNYG,RWY02,444100,4250,11,23,off,29.92,17,444100 M,M,0,0
KNYG,RWY02,443200,4250,11,23,off,29.92,19,443200 M,M,0,0
KNYG,RWY02,442300,4250,11,23,off,29.92,21,442300 M,M,0,0
KNYG,RWY02,441400,4250,11,23,off,29.92,23,441400 M,M,0,0
KNYG,RWY02,440100,4250,11,23,off,29.92,26,440100 M,M,0,0
KNYG,RWY02,439200,4250,11,23,off,29.92,28,439200 M,M,0,0
KNYG,RWY02,438300,4250,11,23,off,29.92,30,438300 M,M,0,0
KNYG,RWY02,431800,4250,11,23,off,29.92,32,431800 M,M,0,0
KNYG,RWY02,418600,4250,11,23,off,29.92,35,418600 M,M,0,0
KNYG,RWY02,449500,4250,11,23,off,29.61,-18,449500 M2,M2,1,0
KNYG,RWY02,449000,4250,11,23,off,29.61,-16,449000 M2,M2,1,0
KNYG,RWY02,448600,4250,11,23,off,29.61,-14,448600 M2,M2,1,0
KNYG,RWY02,448100,4250,11,23,off,29.61,-12,448100 M2,M2,1,0
KNYG,RWY02,447700,4250,11,23,off,29.61,-10,447700 M2,M2,1,0
KNYG,RWY02,447100,4250,11,23,off,29.61,-7,447100 M2,M2,1,0
KNYG,RWY02,446600,4250,11,23,off,29.61,-5,446600 M2,M2,1,0
KNYG,RWY02,446300,4250,11,23,off,29.61,-3,446300 M2,M2,1,0
KNYG,RWY02,445900,4250,11,23,off,29.61,-1,445900 M,M,0,0
KNYG,RWY02,445400,4250,11,23,off,29.61,1,445400 M,M,0,0
KNYG,RWY02,444800,4250,11,23,off,29.61,4,444800 M,M,0,0
KNYG,RWY02,444300,4250,11,23,off,29.61,6,444300 M,M,0,0
KNYG,RWY02,443900,4250,11,23,off,29.61,8,443900 M,M,0,0
KNYG,RWY02,443500,4250,11,23,off,29.61,10,443500 M,M,0,0
KNYG,RWY02,443000,4250,11,23,off,29.61,12,443000 M,M,0,0
KNYG,RWY02,442200,4250,11,23,off,29.61,15,442200 M,M,0,0
KNYG,RWY02,441300,4250,11,23,off,29.61,17,441300 M,M,0,0
KNYG,RWY02,440400,4250,11,23,off,29.61,19,440400 M,M,0,0
KNYG,RWY02,439500,4250,11,23,off,29.61,21,439500 M,M,0,0
KNYG,RWY02,438600,4250,11,23,off,29.61,23,438600 M,M,0,0
KNYG,RWY02,437300,4250,11,23,off,29.61,26,437300 M,M,0,0
KNYG,RWY02,435700,4250,11,23,off,29.61,28,435700 M,M,0,0
KNYG,RWY02,433600,4250,11,23,off,29.61,30,433600 M,M,0,0
KNYG,RWY02,426900,4250,11,23,off,29.61,32,426900 M,M,0,0
KNYG,RWY02,414000,4250,11,23,off,29.61,35,414000 M,M,0,0
KNYG,RWY02,452600,4250,11,23,off,30.22,-18,452600 M2,M2,1,0
KNYG,RWY02,452200,4250,11,23,off,30.22,-16,452200 M2,M2,1,0
KNYG,RWY02,451700,4250,11,23,off,30.22,-14,451700 M2,M2,1,0
KNYG,RWY02,451200,4250,11,23,off,30.22,-12,451200 M2,M2,1,0
KNYG,RWY02,450800,4250,11,23,off,30.22,-10,450800 M2,M2,1,0
KNYG,RWY02,450100,4250,11,23,off,30.22,-7,450100 M2,M2,1,0
KNYG,RWY02,449700,4250,11,23,off,30.22,-5,449700 M2,M2,1,0
KNYG,RWY02,449300,4250,11,23,off,30.22,-3,449300 M2,M2,1,0
KNYG,RWY02,448800,4250,11,23,off,30.22,-1,448800 M2,M2,1,0
KNYG,RWY02,448500,4250,11,23,off,30.22,1,448500 M2,M2,1,0
KNYG,RWY02,447900,4250,11,23,off,30.22,4,447900 M,M,0,0
KNYG,RWY02,447400,4250,11,23,off,30.22,6,447400 M,M,0,0
KNYG,RWY02,447000,4250,11,23,off,30.22,8,447000 M,M,0,0
KNYG,RWY02,446600,4250,11,23,off,30.22,10,446600 M,M,0,0
KNYG,RWY02,446100,4250,11,23,off,30.22,12,446100 M,M,0,0
KNYG,RWY02,445500,4250,11,23,off,30.22,15,445500 M,M,0,0
KNYG,RWY02,444700,4250,11,23,off,30.22,17,444700 M,M,0,0
KNYG,RWY02,443900,4250,11,23,off,30.22,19,443900 M,M,0,0
KNYG,RWY02,443000,4250,11,23,off,30.22,21,443000 M,M,0,0
KNYG,RWY02,442100,4250,11,23,off,30.22,23,442100 M,M,0,0
KNYG,RWY02,440800,4250,11,23,off,30.22,26,440800 M,M,0,0
KNYG,RWY02,439900,4250,11,23,off,30.22,28,439900 M,M,0,0
KNYG,RWY02,439100,4250,11,23,off,30.22,30,439100 M,M,0,0
KNYG,RWY02,433300,4250,11,23,off,30.22,32,433300 M,M,0,0
KNYG,RWY02,421400,4250,11,23,off,30.22,35,421400 M,M,0,0
KNYG,RWY02,453000,4250,11,23,off,30.52,-18,453000 M2,M2,1,0
