Date,Year,Month,Day,Shift,TACC Sorties,High Priority Sorties,Flying Hours,Cargo (Stons),Passengers
1/1/13,2013,1,1,Day,,,,,
1/1/13,2013,1,1,Swings,,,,,
1/1/13,2013,1,1,Mids,,,,,
1/2/13,2013,1,2,Day,,,,,
1/2/13,2013,1,2,Swings,,,,,
1/2/13,2013,1,2,Mids,,,,,
1/3/13,2013,1,3,Day,,,,,
1/3/13,2013,1,3,Swings,,,,,
1/3/13,2013,1,3,Mids,,,,,
1/4/13,2013,1,4,Day,,,,,
1/4/13,2013,1,4,Swings,,,,,
1/4/13,2013,1,4,Mids,,,,,
1/5/13,2013,1,5,Day,,,,,
1/5/13,2013,1,5,Swings,,,,,
1/5/13,2013,1,5,Mids,,,,,
1/6/13,2013,1,6,Day,,,,,
1/6/13,2013,1,6,Swings,,,,,
1/6/13,2013,1,6,Mids,,,,,
1/7/13,2013,1,7,Day,,,,,
1/7/13,2013,1,7,Swings,,,,,
1/7/13,2013,1,7,Mids,,,,,
1/8/13,2013,1,8,Day,,,,,
1/8/13,2013,1,8,Swings,,,,,
1/8/13,2013,1,8,Mids,,,,,
1/9/13,2013,1,9,Day,,,,,
1/9/13,2013,1,9,Swings,,,,,
1/9/13,2013,1,9,Mids,,,,,
1/10/13,2013,1,10,Day,,,,,
1/10/13,2013,1,10,Swings,,,,,
1/10/13,2013,1,10,Mids,,,,,
1/11/13,2013,1,11,Day,,,,,
1/11/13,2013,1,11,Swings,,,,,
1/11/13,2013,1,11,Mids,,,,,
1/12/13,2013,1,12,Day,,,,,
1/12/13,2013,1,12,Swings,,,,,
1/12/13,2013,1,12,Mids,,,,,
1/13/13,2013,1,13,Day,,,,,
1/13/13,2013,1,13,Swings,,,,,
1/13/13,2013,1,13,Mids,,,,,
1/14/13,2013,1,14,Day,,,,,
1/14/13,2013,1,14,Swings,,,,,
1/14/13,2013,1,14,Mids,,,,,
1/15/13,2013,1,15,Day,,,,,
1/15/13,2013,1,15,Swings,,,,,
1/15/13,2013,1,15,Mids,,,,,
1/16/13,2013,1,16,Day,,,,,
1/16/13,2013,1,16,Swings,,,,,
1/16/13,2013,1,16,Mids,,,,,
1/17/13,2013,1,17,Day,,,,,
1/17/13,2013,1,17,Swings,,,,,
1/17/13,2013,1,17,Mids,,,,,
1/18/13,2013,1,18,Day,,,,,
1/18/13,2013,1,18,Swings,,,,,
1/18/13,2013,1,18,Mids,,,,,
1/19/13,2013,1,19,Day,,,,,
1/19/13,2013,1,19,Swings,,,,,
1/19/13,2013,1,19,Mids,,,,,
1/20/13,2013,1,20,Day,,,,,
1/20/13,2013,1,20,Swings,,,,,
1/20/13,2013,1,20,Mids,,,,,
1/21/13,2013,1,21,Day,,,,,
1/21/13,2013,1,21,Swings,,,,,
1/21/13,2013,1,21,Mids,,,,,
