Date,Year,Month,Day,Zulu Hours,TACC Sorties,High Priority Sorties,Flying Hours,Cargo (Stons),Passengers
1/1/13,2013,1,1,0,5,0,23,30.8,229
1/1/13,2013,1,1,1,1,0,3.5,69.03,0
1/1/13,2013,1,1,2,5,0,17.4,51.45,222
1/1/13,2013,1,1,3,2,0,12.1,19.8,3
1/1/13,2013,1,1,4,10,0,54.9,28.5,124
1/1/13,2013,1,1,5,7,0,41.5,39.93,166
1/1/13,2013,1,1,6,6,0,35.7,60.53,68
1/1/13,2013,1,1,7,2,0,12.5,26.27,0
1/1/13,2013,1,1,8,4,0,13.6,82.64,150
1/1/13,2013,1,1,9,3,0,7.3,56.5,37
1/1/13,2013,1,1,10,3,0,12.2,50.1,6
1/1/13,2013,1,1,11,6,0,20.2,85.22,37
1/1/13,2013,1,1,12,4,0,29.6,0,158
1/1/13,2013,1,1,13,2,0,9.5,2.44,0
1/1/13,2013,1,1,14,5,0,14.2,38.69,86
1/1/13,2013,1,1,15,4,0,16.3,10.06,158
1/1/13,2013,1,1,16,4,0,12.3,102.36,0
1/1/13,2013,1,1,17,4,0,12.9,0.27,15
1/1/13,2013,1,1,18,7,0,35.6,20.63,7
1/1/13,2013,1,1,19,1,1,9.9,4.4,1
1/1/13,2013,1,1,20,2,0,8.7,0.01,1
1/1/13,2013,1,1,21,4,0,14.6,131.97,50
1/1/13,2013,1,1,22,3,0,12.8,43.98,11
1/1/13,2013,1,1,23,10,0,52.2,77.92,218
1/2/13,2013,1,2,0,4,0,24.8,27.11,223
1/2/13,2013,1,2,1,5,0,15.8,24.11,58
1/2/13,2013,1,2,2,3,0,13.1,40.27,159
1/2/13,2013,1,2,3,3,0,16.2,57.47,21
1/2/13,2013,1,2,4,5,0,22,54.76,0
1/2/13,2013,1,2,5,4,0,14.7,71.4,22
1/2/13,2013,1,2,6,3,0,9.5,19.49,53
1/2/13,2013,1,2,7,10,2,47.6,43.24,47
1/2/13,2013,1,2,8,2,0,12,0,129
1/2/13,2013,1,2,9,1,0,5.4,0,0
1/2/13,2013,1,2,10,7,0,31.7,36.9,206
1/2/13,2013,1,2,11,7,0,36.6,130.9,125
1/2/13,2013,1,2,12,6,0,24.1,30.47,278
1/2/13,2013,1,2,13,7,0,28.1,12.2,9
1/2/13,2013,1,2,14,5,0,10.4,0,314
1/2/13,2013,1,2,15,7,0,26.9,63.23,8
1/2/13,2013,1,2,16,7,0,28.4,0,1
1/2/13,2013,1,2,17,5,0,14.8,58.45,82
1/2/13,2013,1,2,18,7,0,27,75.38,123
1/2/13,2013,1,2,19,7,0,22.3,23.03,57
1/2/13,2013,1,2,20,5,0,21.6,7.27,5
1/2/13,2013,1,2,21,11,0,41.2,68.38,88
1/2/13,2013,1,2,22,8,0,36.4,117.44,244
1/2/13,2013,1,2,23,5,0,26.6,51.64,63
1/3/13,2013,1,3,0,9,0,36.4,106.47,684
1/3/13,2013,1,3,1,6,0,35.5,177.27,20
1/3/13,2013,1,3,2,5,0,32.8,15.13,392
1/3/13,2013,1,3,3,5,0,20.9,33.73,109
